,instance,hate_count,url_count,mentions_count,hashtag_count,hate_avg,url_avg,mentions_avg,hashtag_avg,users,posts,nsfw,media_removal,fed_time_rem,reject,quaran_inst,accept,avatar,banner,followers_only,report,reject_deletes,hate_perc,url_perc,mentions_perc,hash_perc,followers_count,following_count,reblogs_count,replies_count,active_halfyear,active_month,hash_ftr,hash_rej,hash_sen,users_tr,posts_tr,hate_tr,url_tr,blocked
67,chat.brainbaking.com,29673.0,3008.0,10477.0,3495.0,1.9564185402518623,0.1983253115316147,0.6908215745747066,0.230449690096268,4.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2957407529504846,0.089536493703435,0.2929715830421309,0.0566031515790861,19424,6451,3,74,0.0,0.0,0.0,0.0,0.0,1.2599210498948732,2.73440420744713,5.5640826965296855,3.799382097204068,0
68,clamo.red,4835.0,1997.0,261.0,2094.0,2.368936795688388,0.9784419402253796,0.1278784909358157,1.025967662910338,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3444390004899559,0.4590886820186183,0.0477707006369426,0.2488975992160705,7876,597,1,11,0.0,0.0,0.0,0.0,0.0,1.122462048309373,1.2599210498948732,4.112122840275722,3.54864872046659,0
69,close-air.support,10437.0,807.0,15922.0,982.0,1.5828025477707006,0.1223839854413102,2.414985590778098,0.1489458516608524,1.0,698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2434030937215651,0.0484531392174704,0.348650288140734,0.0376099484379739,15254,4164,3,13,0.0,0.0,0.0,0.0,0.0,1.0,2.978351175143578,4.674795463388403,3.0512579393220194,0
70,clvr.bfan.cc,7818.0,1508.0,3641.0,1572.0,1.9638281838733984,0.3787992966591309,0.9148241206030152,0.3949748743718593,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3289374529012811,0.1525998492840994,0.3771665410700829,0.08942476764632,6082,321,2,39,0.0,0.0,0.0,0.0,1.0,1.2599210498948732,1.2599210498948732,4.455016098035161,3.3863633634253985,0
71,clyez.city,19580.0,2723.0,14161.0,4263.0,1.134546297369336,0.1577818982500869,0.8205945413455409,0.2470301906472736,3.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1813072198400741,0.0758488816780623,0.2615598562985282,0.1054293660910882,60682,10489,3,20,0.0,0.0,0.0,0.0,1.0,1.2009369551760027,2.267722024701544,5.1916106489305935,3.736869574532016,0
72,cocaine.moe,60193.0,3204.0,54960.0,3483.0,1.1413375301010638,0.0607520051574736,1.0421328074633092,0.06604346012363,4.0,1700.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2053129562562809,0.0284703919300707,0.3204554504256812,0.0201748231858776,527285,2480,6,75,0.0,0.0,0.0,0.0,1.0,1.2599210498948732,3.4546826076028125,6.260240216244062,3.839565534077941,0
73,collapsitarian.io,276292.0,117782.0,123204.0,120245.0,1.8287310370389984,0.7795795716290276,0.8154722900657254,0.7958870289840684,80.0,6700.0,1.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2789540917635222,0.1848607397209499,0.2309576129835059,0.1553440470202007,17260,12343,12,30,0.0,0.0,0.0,0.0,1.0,2.075781631112427,4.341893171211131,8.070393641020152,7.001318274089539,1
74,comfy.business,2082.0,175.0,1013.0,152.0,1.5966257668711656,0.13420245398773,0.7774366845740599,0.1166538756715272,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2576687116564417,0.0632668711656441,0.3431748466257669,0.0467791411042944,2773,734,3,13,0.0,0.0,0.0,0.0,0.0,1.0,1.8859727740585397,3.573387557486538,2.365046449947016,0
75,communicating.cypherpunk.observer,57578.0,3439.0,55680.0,4299.0,1.299846487267473,0.0776368069351634,1.2570267524551304,0.0970538435489332,1.0,2591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2205616759978328,0.0347774065378363,0.3176246162181687,0.0262890554451869,383819,11783,10,82,0.0,0.0,0.0,0.0,1.0,1.0,3.7060496689991327,6.21406935220528,3.885128276733408,0
76,comrades.abortu.com,51.0,5.0,20.0,6.0,1.275,0.125,0.5,0.15,5.0,5720.0,3.0,11.0,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2625,0.0375,0.225,0.0625,2177,2459,1,2,0.0,0.0,0.0,0.0,0.0,1.3076604860118306,4.228951178895607,1.925728373698168,1.3076604860118306,1
77,connect.fshm.in,21666.0,3518.0,8027.0,4615.0,1.6858076563958917,0.2737317149081855,0.6246206520893316,0.3591160220994475,12.0,495.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2648615001556178,0.1275676937441643,0.2310146280734516,0.0756302521008403,437193,12863,8,89,0.0,0.0,0.0,0.0,0.0,1.5130857494229015,2.8125539805424538,5.279949755931973,3.8998625966350633,0
